"PTS","MP","AST","TRB","STL","BLK","TOV","FG.","FT.","eFG.","Pos"
2.54635220822903,10.4,1.2,0.9,0.4,0.1,0.2,0.439,0.667,0.482,"G"
0.257494080985702,4.9,0.6,0.9,0.4,0.1,0.3,0.303,0,0.333,"G"
6.36001038482304,15,2.6,1.4,0.2,0.1,1.1,0.421,0.689,0.499,"G"
6.38076257359086,15.4,2.7,1.4,0.2,0.1,1.1,0.425,0.659,0.5,"G"
6.1415136464146,11.9,1.7,1.7,0.3,0,1,0.389,1,0.486,"G"
5.25272633135563,12.7,0.5,6.6,0.7,0.4,1.1,0.606,0.536,0.606,"C"
7.28581637526007,19.5,1.4,2.5,0.5,0.2,0.9,0.369,0.847,0.452,"F"
4.69578979011731,9.9,0.9,1.3,0.4,0,0.8,0.462,0.706,0.468,"G"
11.1901497314196,25.8,5.6,4.5,1.1,0.5,1.6,0.537,0.774,0.576,"G"
25.6418478902776,35.6,5,6.7,0.7,1.4,3.3,0.56,0.919,0.614,"F"
26.4052956387478,36,5.3,6.7,0.8,1.5,3.5,0.559,0.934,0.607,"F"
22.3501190430085,33.6,3.5,6.4,0.3,1.3,2.5,0.57,0.833,0.656,"F"
11.7684458909827,24.9,1.1,8.9,0.7,0.9,1.4,0.648,0.611,0.648,"C"
8.28654921841424,21.5,1.1,6,1.2,0.6,1.2,0.448,0.752,0.493,"F"
24.1526790791226,36,4.4,5.8,1.6,0.7,3.3,0.459,0.756,0.528,"G"
3.09108969679565,10.7,0.6,1.7,0.4,0.2,0.4,0.387,0.733,0.478,"F"
1.60754345487981,5.6,0.1,1,0.2,0.1,0.3,0.25,0.5,0.292,"F"
3.79372582221874,13.9,1,2.1,0.5,0.2,0.4,0.435,0.769,0.543,"F"
1.94690884592529,4.4,0.4,0.5,0.3,0.1,0.1,0.438,0.571,0.625,"G"
24.2715840973122,34.6,4.2,10.2,1,1.7,3.4,0.548,0.857,0.573,"C"
7.89794784066624,20.3,1.3,5.4,0.5,1.3,0.9,0.641,0.664,0.651,"C"
4.00800088017034,10.4,0.8,3.5,0.2,0.9,0.6,0.527,0.7,0.527,"C"
4.11601247815871,11.7,1,3.9,0.2,1,0.6,0.516,0.682,0.516,"C"
4.61178876481151,5.1,0.1,1.9,0,0.4,0.6,0.579,0.833,0.579,"C"
13.4871258046361,30.4,1.5,4.8,0.8,0.5,0.9,0.391,0.763,0.505,"F"
14.6546200076754,32.2,1.5,4.7,1,0.5,0.9,0.416,0.75,0.54,"F"
11.8528781596624,27.7,1.6,4.9,0.7,0.6,1,0.351,0.789,0.448,"F"
4.00510563489629,13,1.3,1.4,0.4,0.1,0.5,0.36,0.758,0.457,"G"
5.55232426808474,14.7,0.8,1.7,0.3,0.2,0.8,0.369,0.795,0.47,"F"
4.55730691434813,10.7,0.7,0.6,0.3,0.1,0.5,0.361,1,0.446,"G"
4.38882206618857,12,1.7,1.6,0.3,0.1,0.7,0.417,0.667,0.417,"G"
0,1,0,0,0,0,0,0,0,0,"F"
6.07470990570355,17,1.3,1.8,0.6,0.1,0.8,0.337,0.857,0.443,"G"
